id,qty_multiple,name,product_uom.id,company_id:id,warehouse_id:id,location_id:id,product_id:id,product_min_qty,product_max_qty
scenario.orderpoint_141738,10,OP/00150,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141738,44,84
scenario.orderpoint_141740,10,OP/00151,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141740,11,17
scenario.orderpoint_141741,1,OP/00152,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141741,,
scenario.orderpoint_141742,1,OP/00153,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141742,251,586
scenario.orderpoint_141744,8,OP/00154,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141744,68,158
scenario.orderpoint_141753,8,OP/00162,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141753,,
scenario.orderpoint_141754,8,OP/00163,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141754,2,3
scenario.orderpoint_141755,8,OP/00164,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141755,18,39
scenario.orderpoint_141756,8,OP/00165,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141756,6,8
scenario.orderpoint_141758,8,OP/00167,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141758,137,319
scenario.orderpoint_141757,1,OP/00166,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141757,29,55
scenario.orderpoint_141759,8,OP/00168,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141759,61,88
scenario.orderpoint_141760,8,OP/00169,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141760,21,35
scenario.orderpoint_141762,8,OP/00170,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141762,1646,3841
scenario.orderpoint_141763,8,OP/00171,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141763,263,614
scenario.orderpoint_141764,100,OP/00172,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141764,1843,4300
scenario.orderpoint_141765,100,OP/00173,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141765,146,340
scenario.orderpoint_141766,100,OP/00174,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141766,234,545
scenario.orderpoint_141767,100,OP/00175,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141767,423,986
scenario.orderpoint_141768,100,OP/00176,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141768,17,34
scenario.orderpoint_141769,100,OP/00177,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141769,38,88
scenario.orderpoint_141809,60,OP/00178,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141809,4473,10436
scenario.orderpoint_141814,60,OP/00179,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141814,1856,4330
scenario.orderpoint_141844,1,OP/00185,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141844,450,1049
scenario.orderpoint_141961,60,OP/00186,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141961,934,2180
scenario.orderpoint_141964,1,OP/00187,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141964,295,689
scenario.orderpoint_141969,60,OP/00188,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141969,187,437
scenario.orderpoint_141988,1,OP/00198,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141988,14,24
scenario.orderpoint_141977,1,OP/00189,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141977,,
scenario.orderpoint_141978,10,OP/00190,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141978,5,5
scenario.orderpoint_141979,10,OP/00191,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141979,,
scenario.orderpoint_141980,100,OP/00192,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141980,72,168
scenario.orderpoint_141981,1,OP/00193,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141981,6,8
scenario.orderpoint_141982,1,OP/00194,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141982,6,12
scenario.orderpoint_141983,1,OP/00195,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141983,11,14
scenario.orderpoint_141994,1,OP/00201,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141994,17,27
scenario.orderpoint_141995,1,OP/00202,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141995,11,21
scenario.orderpoint_141996,1,OP/00203,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141996,5,5
scenario.orderpoint_141997,1,OP/00204,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141997,12,21
scenario.orderpoint_141998,1,OP/00205,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141998,24,51
scenario.orderpoint_141999,1,OP/00206,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141999,8,10
scenario.orderpoint_142000,1,OP/00207,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142000,0,0
scenario.orderpoint_142001,1,OP/00208,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142001,14,23
scenario.orderpoint_142007,1,OP/00210,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142007,24,43
scenario.orderpoint_142006,1,OP/00209,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142006,25,41
scenario.orderpoint_142008,1,OP/00211,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142008,18,22
scenario.orderpoint_142027,1,OP/00219,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142027,50,116
scenario.orderpoint_142219,1,OP/00246,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142219,,
scenario.orderpoint_142220,1,OP/00247,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142220,13,29
scenario.orderpoint_142221,10,OP/00248,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142221,,
scenario.orderpoint_142226,10,OP/00250,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142226,11,15
scenario.orderpoint_142227,1,OP/00251,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142227,0,0
scenario.orderpoint_142228,1,OP/00252,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142228,18,25
scenario.orderpoint_142229,1,OP/00253,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142229,0,0
scenario.orderpoint_142249,60,OP/00266,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142249,108,253
scenario.orderpoint_142253,1,OP/00267,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142253,,
