id,name,user_id:id,date_start,date_end,street,zip,city,stage_id:id,build_type,project_type_id:id
scenario.buildingproject_-2142478343,A1300.311796 KHP,scenario.res_users_dla,2014-11-12,,,,,specific_building_project.stage_won_realisation,,
scenario.buildingproject_-2142476790,ICC / éclairage ous les paliers étages,scenario.res_users_mse,2014-12-02,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142475362,"1214 Vernier, Blandonnet 8, AOS",scenario.res_users_mse,2014-12-03,2015-02-02,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142475318,Neubau Alters- und Pflegezentrum Appenzell,scenario.res_users_mka,2014-12-03,,,,,specific_building_project.stage_submission,,specific_building_project.type_hospital
scenario.buildingproject_-2142474773,"Etzelstrasse 8, Hombrechtikon - Sonnengarten Demenzstation",scenario.res_users_rhu,2014-12-04,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142473870,Feldbreite,scenario.res_users_dla,2014-12-03,2015-08-26,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142473444,Entwicklung Einbaugehäuse mit HSB Weibel,scenario.res_users_mka,2014-04-01,,,,,specific_building_project.stage_won_realisation,,
scenario.buildingproject_-2142473154,Überbauung Mühlebach,scenario.res_users_dla,2014-12-05,,,,,specific_building_project.stage_acquisiton,,
scenario.buildingproject_-2142472381,"ADDAX Petroleum, Malagnou 101",scenario.res_users_mse,2014-12-08,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142471941,Schulhaus Saatlen,scenario.res_users_dla,2014-02-13,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142471881,Crédit Suisse Monnaie,scenario.res_users_mse,2014-12-08,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142470426,Centre patronal Paudex,scenario.res_users_mse,2014-12-10,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142470212,Jugendherberge Romanshorn,scenario.res_users_mka,2014-12-10,2015-02-12,,,,specific_building_project.stage_lost,,specific_building_project.type_hotel
scenario.buildingproject_-2142469428,"Schulanlage Lutertal, 3065 Bolligen",scenario.res_users_fbo,2014-12-11,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142468693,Hotel Eden,scenario.res_users_dla,2014-12-11,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142468575,Badel / Dargent,scenario.res_users_mse,2014-12-12,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142468553,Sortag Rümlang,scenario.res_users_rhu,2014-12-12,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142468366,Neubau Herbert Büchel,scenario.res_users_mka,2014-12-12,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142468227,"Alterswohnen, 100 Zimmer",scenario.res_users_dla,,,,,,specific_building_project.stage_acquisiton,,
scenario.buildingproject_-2142466092,EFH Stegemann Andelfingen,scenario.res_users_dla,2014-12-16,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142465342,"Wohnüberbauung Grindelen, 8166 Niederweningen",scenario.res_users_rhu,2014-12-17,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142465200,Oldtimer Werkstatt,scenario.res_users_mle,2014-12-09,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142465189,Ruther Neubau,scenario.res_users_rhu,2014-12-17,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142464865,"Schindler, Ebikon",scenario.res_users_dla,2014-12-17,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142464617,116349.001 Steiner/Letzipark Hohlstr,scenario.res_users_dla,2014-12-17,,,,,specific_building_project.stage_closed,,
scenario.buildingproject_-2142464074,Sanierung Bahnhof Gossau (pot. IL-Pilotprojekt),scenario.res_users_mka,2014-12-17,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142463764,Altersheim Sömmerli,scenario.res_users_mka,2014-12-01,,,,,specific_building_project.stage_won_completed,,specific_building_project.type_hospital
scenario.buildingproject_-2142463311,Schulhaus Wuppenau,scenario.res_users_mka,2014-12-19,,,,,specific_building_project.stage_submission,,specific_building_project.type_school
scenario.buildingproject_-2142461645,Migros Münchwilen,scenario.res_users_rhu,,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142457808,30130001 - Cluse Violette,scenario.res_users_mse,2015-01-06,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142455718,SUVA Bellikon,scenario.res_users_dla,2015-01-08,,,,,specific_building_project.stage_won_realisation,,
scenario.buildingproject_-2142455229,Überbauung Münigen,scenario.res_users_mle,2014-01-09,,,,,specific_building_project.stage_won_realisation,,
scenario.buildingproject_-2142452715,SMC Klinik Rheinfelden,scenario.res_users_rhu,2015-01-13,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142451783,2510.14 HRS Mattenhof,scenario.res_users_dla,2015-01-13,,,,,specific_building_project.stage_won_realisation,,
