id,name,description,active,default_code,categ_id:id,list_price,standard_price,weight,taxes_id,property_account_income_id,property_account_expense_id,type,state,uom_id:id,valuation
scenario.product_151473,PD2 S 360 DE Dimm/BE,"Präsenzmelder Dimm 1-10V, beige",TRUE,151473,scenario.product_category_R201_002,240,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151474,PD2 S 360 DE 12-48V/BE,"Präsenzmelder 24V, beige",TRUE,151474,scenario.product_category_R201_002,210,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151475,PD2 S 360 DE DALI-DSI/BE,"Präsenzmelder Dimm DALI-DSI, beige",TRUE,151475,scenario.product_category_R201_002,250,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151476,PD2 S 360 DE Master 1C/SI,"Präsenzmelder 1-Kanal, silber",TRUE,151476,scenario.product_category_R201_002,152,0,0.25,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151477,PD2 S 360 DE Master 2C/SI,"Präsenzmelder 2-Kanal, silber",TRUE,151477,scenario.product_category_R201_002,172,0,0.237,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151478,PD2 S 360 DE Slave/SI,"Präsenzmelder Slave, silber",TRUE,151478,scenario.product_category_R201_002,142,0,0.21,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151479,PD2 S 360 DE GST/SI,"Präsenzmelder 16V-24V-48V 2x 0-10V, silber",TRUE,151479,scenario.product_category_R201_002,180,0,0.216,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151480,PD2 S 360 DE KNX/SI,"Präsenzmelder KNX, silber",TRUE,151480,scenario.product_category_R201_002,365,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151481,PD2 S 360 DE Dimm/SI,"Präsenzmelder Dimm 1-10V, silber",TRUE,151481,scenario.product_category_R201_002,240,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151482,PD2 S 360 DE 12-48V/SI,"Präsenzmelder 24V, silber",TRUE,151482,scenario.product_category_R201_002,210,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151483,PD2 S 360 DE DALI-DSI/SI,"Präsenzmelder Dimm DALI-DSI, silber",TRUE,151483,scenario.product_category_R201_002,250,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
